Data Date,Currency,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days
20161109,USD,Buying,31.08000,31.38000,31.37300,31.35800,31.33400,31.30500,31.27800,31.24800,31.21000,Selling,31.62200,31.48000,31.47700,31.47000,31.44500,31.41700,31.39500,31.37200,31.35200,
20161108,USD,Buying,31.14500,31.44500,31.43700,31.42200,31.39900,31.36900,31.34200,31.31000,31.27400,Selling,31.68700,31.54500,31.54100,31.53300,31.51100,31.48100,31.45900,31.43200,31.41300,
20161107,USD,Buying,31.16500,31.46500,31.45700,31.44200,31.41800,31.38900,31.36300,31.33000,31.29400,Selling,31.70700,31.56500,31.56100,31.55300,31.52900,31.50000,31.47900,31.45200,31.43100,
20161104,USD,Buying,31.11000,31.41000,31.40200,31.38600,31.36300,31.33300,31.30500,31.27100,31.23600,Selling,31.65200,31.51000,31.50600,31.49800,31.47400,31.44500,31.42300,31.39700,31.37700,
20161103,USD,Buying,31.11500,31.41500,31.40700,31.39100,31.36600,31.33700,31.30600,31.27500,31.23900,Selling,31.65700,31.51500,31.51100,31.50300,31.47700,31.44800,31.42600,31.40100,31.37900,
20161102,USD,Buying,31.20000,31.50000,31.49200,31.47600,31.45100,31.41900,31.39300,31.36200,31.32500,Selling,31.74200,31.60000,31.59600,31.58700,31.56300,31.53100,31.51000,31.48500,31.46300,
20161101,USD,Buying,31.20500,31.50500,31.49700,31.48000,31.45800,31.42700,31.40000,31.36700,31.33100,Selling,31.74700,31.60500,31.60100,31.59200,31.56900,31.53800,31.51700,31.49000,31.46900,
20161031,USD,Buying,31.21000,31.51000,31.50200,31.48600,31.46100,31.43100,31.40300,31.36900,31.33400,Selling,31.75200,31.61000,31.60600,31.59700,31.57300,31.54500,31.52300,31.49700,31.47800,
20161028,USD,Buying,31.26500,31.56500,31.55700,31.54000,31.51500,31.48500,31.46000,31.42500,31.38900,Selling,31.80700,31.66500,31.66000,31.65100,31.62800,31.59800,31.57800,31.55100,31.53200,
20161027,USD,Buying,31.27500,31.57500,31.56700,31.55200,31.53200,31.50300,31.47300,31.44000,31.40500,Selling,31.81700,31.67500,31.67100,31.66400,31.64400,31.61500,31.59200,31.56500,31.54400,
20161026,USD,Buying,31.20500,31.50500,31.49700,31.48100,31.46000,31.42800,31.39900,31.36700,31.33100,Selling,31.74700,31.60500,31.60100,31.59300,31.57300,31.54200,31.51900,31.49200,31.47100,
20161025,USD,Buying,31.25000,31.55000,31.54200,31.52600,31.50300,31.47200,31.44100,31.41100,31.37400,Selling,31.79200,31.65000,31.64600,31.63700,31.61700,31.58600,31.56500,31.53800,31.51800,
20161024,USD,Buying,31.32500,31.62500,31.61700,31.60000,31.57800,31.54700,31.51600,31.48500,31.44900,Selling,31.86700,31.72500,31.72000,31.71100,31.69000,31.65900,31.63600,31.61000,31.59000,
20161021,USD,Buying,31.26500,31.56500,31.55700,31.54200,31.51900,31.48800,31.45700,31.42700,31.39000,Selling,31.80700,31.66500,31.66100,31.65300,31.63100,31.60000,31.57500,31.55000,31.53000,
20161020,USD,Buying,31.17500,31.47500,31.46700,31.45200,31.42900,31.39800,31.36600,31.33800,31.30200,Selling,31.71700,31.57500,31.57100,31.56300,31.54300,31.51100,31.48500,31.46300,31.44000,
20161019,USD,Buying,31.16500,31.46500,31.45700,31.44200,31.42200,31.38600,31.35900,31.33000,31.29200,Selling,31.70700,31.56500,31.56200,31.55500,31.56190,31.49900,31.47500,31.45500,31.43300,
20161018,USD,Buying,31.30000,31.60000,31.59200,31.57700,31.55700,31.52500,31.49500,31.46600,31.43000,Selling,31.84200,31.70000,31.69700,31.69000,31.67000,31.63800,31.61400,31.59300,31.57300,
20161017,USD,Buying,31.41500,31.71500,31.70800,31.69300,31.67000,31.63900,31.61000,31.58000,31.54500,Selling,31.95700,31.81500,31.81200,31.80500,31.78600,31.75400,31.73000,31.71000,31.68700,
20161014,USD,Buying,31.31000,31.61000,31.60300,31.58800,31.56700,31.53500,31.50300,31.47600,31.44000,Selling,31.85200,31.71000,31.70700,31.70000,31.67900,31.64700,31.62400,31.60200,31.58300,
20161013,USD,Buying,31.39000,31.69000,31.68200,31.66700,31.64600,31.61200,31.58000,31.55100,31.51200,Selling,31.93200,31.79000,31.78600,31.77800,31.75700,31.72300,31.69900,31.67400,31.65500,
